Year,CIRI Country ID,Country,UN Country ID,UN Region,UN Subregion,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Empowerment Rights Index (Old),Empowerment Rights Index (New),Freedom of Assembly and Association,Freedom of Foreign Movement,Freedom of Domestic Movement,Freedom of Movement (Old),Freedom of Speech,Electoral Self-Determination,Freedom of Religion (Old),Freedom of Religion (New),Employment Rights,Women’s Economic Rights,Women’s Political Rights,Women’s Social Rights,Independence of Judiciary
1981,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
1982,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0
1983,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1984,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1985,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1986,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1987,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,1,3,0,0,0,0,0,1,0,2,0,0,1,0,0
1988,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,1,0,0
1989,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,2,3,0,1,0,0,0,0,1,2,0,0,1,0,0
1990,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0
1991,101,Afghanistan,4,Asia,Southcentral Asia,1,0,0,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0
1992,101,Afghanistan,4,Asia,Southcentral Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1993,101,Afghanistan,4,Asia,Southcentral Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1994,101,Afghanistan,4,Asia,Southcentral Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1995,101,Afghanistan,4,Asia,Southcentral Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1996,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,3,3,0,1,1,1,1,0,0,0,0,0,0,0,0
1997,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0
1998,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0
2000,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,101,Afghanistan,4,Asia,Southcentral Asia,3,1,1,0,1,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0
2003,101,Afghanistan,4,Asia,Southcentral Asia,,-66,-66,-66,-66,,,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
2004,101,Afghanistan,4,Asia,Southcentral Asia,,-66,-66,-66,-66,,,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
2005,101,Afghanistan,4,Asia,Southcentral Asia,4,2,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,2,,0
2006,101,Afghanistan,4,Asia,Southcentral Asia,4,2,1,1,0,1,3,1,1,0,0,0,1,0,0,0,0,2,,0
2007,101,Afghanistan,4,Asia,Southcentral Asia,4,2,1,1,0,,4,1,1,1,,0,1,,0,0,0,3,1,0
2008,101,Afghanistan,4,Asia,Southcentral Asia,3,2,0,1,0,,3,1,1,1,,0,0,,0,0,0,2,,0
2009,101,Afghanistan,4,Asia,Southcentral Asia,4,2,1,1,0,,1,0,0,0,,0,1,,0,0,0,2,,0
2010,101,Afghanistan,4,Asia,Southcentral Asia,3,2,0,1,0,,2,1,0,0,,0,1,,0,0,0,2,,0
2011,101,Afghanistan,4,Asia,Southcentral Asia,4,2,0,2,0,,4,1,0,0,,1,1,,0,1,0,2,,0
1981,104,Albania,8,Europe,Southern Europe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1982,104,Albania,8,Europe,Southern Europe,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1983,104,Albania,8,Europe,Southern Europe,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1984,104,Albania,8,Europe,Southern Europe,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,1,0
1985,104,Albania,8,Europe,Southern Europe,,2,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1986,104,Albania,8,Europe,Southern Europe,,2,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1987,104,Albania,8,Europe,Southern Europe,,2,-999,0,1,1,1,0,0,0,0,1,0,0,0,0,1,2,1,0
1988,104,Albania,8,Europe,Southern Europe,,2,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1989,104,Albania,8,Europe,Southern Europe,,2,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1990,104,Albania,8,Europe,Southern Europe,3,2,1,0,0,2,2,0,0,0,0,1,1,0,0,0,1,2,1,1
1991,104,Albania,8,Europe,Southern Europe,4,2,1,0,1,8,10,0,2,2,1,1,1,1,2,2,1,1,-999,2
1992,104,Albania,8,Europe,Southern Europe,6,2,2,1,1,7,9,1,2,2,1,1,1,1,1,1,1,2,1,1
1993,104,Albania,8,Europe,Southern Europe,6,2,2,1,1,7,8,0,2,2,1,1,1,1,1,1,1,2,1,1
1994,104,Albania,8,Europe,Southern Europe,7,2,2,2,1,9,12,1,2,2,1,1,2,1,2,2,1,2,-999,2
1995,104,Albania,8,Europe,Southern Europe,4,2,0,1,1,9,11,1,2,2,1,1,2,1,1,2,1,2,1,1
1996,104,Albania,8,Europe,Southern Europe,4,2,1,1,0,7,9,1,2,2,1,1,0,1,1,2,1,2,1,1
1997,104,Albania,8,Europe,Southern Europe,4,2,1,1,0,8,10,1,2,2,1,1,1,1,1,2,1,2,1,1
1998,104,Albania,8,Europe,Southern Europe,5,2,1,1,1,8,12,2,2,2,1,1,2,1,2,1,1,2,1,1
1999,104,Albania,8,Europe,Southern Europe,5,2,1,2,0,9,12,2,2,1,1,1,2,1,2,2,1,2,1,1
2000,104,Albania,8,Europe,Southern Europe,3,2,1,0,0,7,9,1,2,2,1,1,1,1,1,1,1,2,1,1
2001,104,Albania,8,Europe,Southern Europe,6,2,2,2,0,9,11,2,2,1,1,1,2,1,1,2,1,2,1,1
2002,104,Albania,8,Europe,Southern Europe,6,2,2,2,0,8,12,2,2,2,1,1,2,1,2,1,1,2,1,1
2003,104,Albania,8,Europe,Southern Europe,5,2,1,2,0,8,10,1,2,2,1,1,2,1,1,1,2,2,-999,1
2004,104,Albania,8,Europe,Southern Europe,6,2,1,2,1,8,11,1,2,2,1,1,2,1,2,1,1,2,2,1
